127.0.0.1 - - [22/Nov/2023:19:59:32 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:33 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "POST /arcoiris/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/pages/admin/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/js/admin.js HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/imgs/filter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:19:59:51 -0300] "GET /arcoiris/imgs/magnifying-glass-solid.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:00:22 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:00:22 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:00:22 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:00:25 -0300] "GET /arcoiris/rest/book/getAllBooks HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:00:27 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:03:38 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:03:38 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:24:32 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:24:33 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:26:12 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:30:19 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:30:19 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:30:19 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:30:19 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:30:19 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:41 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:41 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:41 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:41 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/pages/admin/user.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/js/user.js HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [22/Nov/2023:20:33:42 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
